Date : 2023-08-04 10:49:14
Directory : g:\Projects\C_CPP\Clion\NGS\include\NGS
Total : 285 files,  11887 codes, 957 comments, 2961 blanks, all 15805 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\mla\vector\unary\negate.h              | C++      |          9 |          0 |          5 |         14 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\mla\vector\unary\traits.h              | C++      |         13 |          0 |          6 |         19 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\mla\vector\unary\unary.h               | C++      |         25 |          1 |         10 |         36 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\mla\vector\vector.h                    | C++      |         51 |         13 |         13 |         77 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\nda\NDA.h                              | C++      |          7 |          0 |          3 |         10 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\nda\NDA.hpp                            | C++      |          1 |          0 |          0 |          1 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\nda\defined.h                          | C++      |         13 |          0 |          7 |         20 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\nda\display\bitmap\bitmap.h            | C++      |         15 |          0 |          7 |         22 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\nda\display\bitmap\data.h              | C++      |         67 |          2 |         15 |         84 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\nda\display\bitmap\data_view.h         | C++      |         33 |          0 |         10 |         43 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\nda\display\bitmap\idata.h             | C++      |         14 |          0 |          9 |         23 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\nda\display\display.h                  | C++      |         56 |          0 |         15 |         71 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\nda\display\sprite.h                   | C++      |         11 |          0 |          6 |         17 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\nda\display\stage.h                    | C++      |         11 |          0 |          6 |         17 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\nda\enum\blend.h                       | C++      |         21 |          0 |          5 |         26 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\nda\impl\opengl.h                      | C++      |          1 |          0 |          1 |          2 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\nda\impl\opengl\defined.h              | C++      |          4 |          0 |          5 |          9 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\nda\impl\opengl\draw.h                 | C++      |         11 |          0 |          9 |         20 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\nda\impl\opengl\opengl.h               | C++      |          1 |          0 |          1 |          2 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\nda\impl\opengl\space.h                | C++      |          4 |          0 |          6 |         10 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\nda\interfaces\draw.h                  | C++      |          9 |          0 |          5 |         14 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\nda\interfaces\interfaces.h            | C++      |          2 |          0 |          1 |          3 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\nda\transform.h                        | C++      |         12 |          0 |          9 |         21 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl2\NGL.h                             | C++      |         26 |          0 |          8 |         34 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl2\NGL.hpp                           | C++      |          2 |          0 |          2 |          4 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl2\api\renderer.h                    | C++      |         19 |          0 |         10 |         29 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl2\api\renderer.hpp                  | C++      |         10 |          0 |          6 |         16 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl2\api\shader.h                      | C++      |         41 |          0 |         13 |         54 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl2\api\texture.h                     | C++      |         41 |          0 |         11 |         52 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl2\api\vertex.h                      | C++      |          6 |          0 |          6 |         12 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl2\api\vertex_array.h                | C++      |        276 |          3 |         45 |        324 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl2\config.h                          | C++      |         13 |          0 |          5 |         18 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl2\context.h                         | C++      |        107 |          9 |         24 |        140 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl2\defined.h                         | C++      |         25 |          0 |         11 |         36 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl2\fw\glfw.h                         | C++      |         92 |          1 |         19 |        112 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl2\gl\blend.h                        | C++      |         19 |          0 |          5 |         24 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl2\gl\buffer.h                       | C++      |         41 |          0 |         12 |         53 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl2\gl\error.h                        | C++      |         20 |          1 |          7 |         28 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl2\gl\framebuffer.h                  | C++      |         32 |          1 |          8 |         41 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl2\gl\gl.h                           | C++      |         11 |          0 |          2 |         13 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl2\gl\render.h                       | C++      |         29 |          5 |          7 |         41 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl2\gl\renderbuffer.h                 | C++      |         22 |          0 |          8 |         30 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl2\gl\shader.h                       | C++      |         96 |          1 |         14 |        111 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl2\gl\space.h                        | C++      |          8 |          0 |          9 |         17 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl2\gl\state.h                        | C++      |         23 |          0 |          7 |         30 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl2\gl\texture.h                      | C++      |         49 |          0 |         12 |         61 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl2\gl\vertex.h                       | C++      |        110 |          0 |         32 |        142 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl2\gl\vertex_array.h                 | C++      |         58 |         21 |         14 |         93 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl2\gl_enum.h                         | C++      |        276 |          0 |         28 |        304 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl2\opengl.h                          | C++      |          3 |          0 |          2 |          5 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl\NGL.h                              | C++      |         31 |          4 |         12 |         47 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl\NGL.hpp                            | C++      |         10 |          4 |          6 |         20 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl\base\buffer.h                      | C++      |         27 |         15 |          7 |         49 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl\base\buffer.hpp                    | C++      |         62 |          0 |         10 |         72 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl\base\buffer_target.h               | C++      |         13 |          0 |          6 |         19 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl\base\object.h                      | C++      |         13 |          0 |          6 |         19 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl\base\opengl.h                      | C++      |         22 |          6 |         14 |         42 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl\base\opengl.hpp                    | C++      |         36 |          0 |         10 |         46 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl\base\state.h                       | C++      |         20 |          0 |          8 |         28 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl\base\target.h                      | C++      |         22 |          0 |          8 |         30 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl\config.h                           | C++      |         13 |          0 |          5 |         18 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl\defined.h                          | C++      |         27 |          0 |         11 |         38 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl\error.h                            | C++      |         20 |          1 |          7 |         28 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl\gl_enum.h                          | C++      |        281 |          0 |         28 |        309 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl\glfw.h                             | C++      |        112 |          1 |         16 |        129 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl\ngl.vcxproj                        | XML      |        177 |          0 |          0 |        177 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl\opengl.h                           | C++      |          3 |          0 |          2 |          5 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl\shader\shader.h                    | C++      |         85 |          1 |         15 |        101 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl\shader\shader.hpp                  | C++      |          7 |          0 |          5 |         12 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl\shader\source.h                    | C++      |         63 |          0 |          8 |         71 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl\texture\image_view.h               | C++      |         28 |          0 |         11 |         39 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl\texture\texture.h                  | C++      |        105 |          0 |         26 |        131 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl\texture\texture.hpp                | C++      |         10 |          0 |          5 |         15 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl\utils\camera.h                     | C++      |         43 |          0 |         10 |         53 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl\utils\renderer.h                   | C++      |         63 |          0 |         21 |         84 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl\vertex\array\array.h               | C++      |         62 |          3 |         20 |         85 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl\vertex\array\base.h                | C++      |        123 |         15 |         18 |        156 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl\vertex\array\base.hpp              | C++      |         10 |          0 |         10 |         20 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl\vertex\array\indices.h             | C++      |         57 |          0 |          8 |         65 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl\vertex\array\line.h                | C++      |         61 |          0 |          7 |         68 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl\vertex\array\polygon.h             | C++      |        109 |          0 |          8 |        117 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl\vertex\concepts.h                  | C++      |         26 |         37 |         10 |         73 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl\vertex\ctrl\default.h              | C++      |         19 |          0 |          9 |         28 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl\vertex\ctrl\line.h                 | C++      |         23 |          0 |          8 |         31 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl\vertex\ctrl\polygon.h              | C++      |         25 |          0 |          8 |         33 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl\vertex\ctrl\vertex.h               | C++      |         20 |          0 |         10 |         30 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl\vertex\indices.h                   | C++      |         31 |          0 |         12 |         43 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl\vertex\indices.hpp                 | C++      |         19 |          0 |         10 |         29 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl\vertex\interface\IIndicesCtrl.h    | C++      |         16 |          0 |          7 |         23 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl\vertex\trait.h                     | C++      |         35 |         14 |          6 |         55 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl\vertex\vertex.h                    | C++      |         83 |          0 |         14 |         97 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl\vertex\vertex.hpp                  | C++      |         27 |          0 |          6 |         33 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl\vertex\vertex_buffer.h             | C++      |         35 |          0 |         12 |         47 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl\vertex\vertex_buffer.hpp           | C++      |         16 |          0 |          7 |         23 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl\vertex\vertex_format.h             | C++      |         62 |         30 |         23 |        115 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\nsl\NSL.h                              | C++      |         14 |          0 |         10 |         24 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\nsl\NSL.hpp                            | C++      |          7 |          0 |          3 |         10 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\nsl\NSL.vcxproj                        | XML      |        220 |          0 |          0 |        220 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\nsl\bus\i2c\I2C.hpp                    | C++      |        117 |          1 |         38 |        156 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\nsl\defined.h                          | C++      |         13 |          0 |          9 |         22 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\nsl\depend.h                           | C++      |         14 |          0 |          5 |         19 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\nsl\file\device_file.h                 | C++      |         10 |          0 |          6 |         16 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\nsl\file\file.h                        | C++      |         85 |          1 |         21 |        107 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\nsl\file\file.hpp                      | C++      |         42 |          0 |         16 |         58 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\nsl\io\GPIO.hpp                        | C++      |        168 |          2 |         36 |        206 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\nsl\io\MultiplexIO.h                   | C++      |         36 |          0 |         10 |         46 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\nsl\io\MultiplexIO.hpp                 | C++      |         21 |          1 |          5 |         27 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\nsl\media\V4L2.h                       | C++      |         47 |          0 |         18 |         65 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\nsl\media\V4L2.hpp                     | C++      |        280 |         10 |         66 |        356 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\nsl\media\frame_buffer.h               | C++      |         23 |          0 |         12 |         35 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\nsl\media\frame_buffer.hpp             | C++      |         59 |          0 |         18 |         77 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\nsw\NSW.h                              | C++      |          6 |          0 |          4 |         10 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\nsw\NSW.hpp                            | C++      |          4 |          0 |          3 |          7 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\nsw\bus\UART.hpp                       | C++      |         23 |          0 |         10 |         33 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\nsw\bus\serial_port.hpp                | C++      |         81 |          0 |         22 |        103 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\nsw\defined.h                          | C++      |          9 |          0 |          5 |         14 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\nsw\depend.h                           | C++      |          2 |          0 |          1 |          3 |
| Total                                                                          |          |     11,887 |        957 |      2,961 |     15,805 |
+--------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
